Date of Demolition,Locality,District,Area,Housing Units,People left Homeless,Minors left Homeless,Type Of Structure,xcoord,ycoord
7/26/22,Qarawat Bani Hassan,Salfit,west-bank,1,9,5,Residential,32.0851,
7/26/22,Qarawat Bani Hassan,Salfit,west-bank,1,8,5,Residential,32.0851,-35.1808
6/2/22,Ya'bad,Jenin,west-bank,2,12,4,Residential,32.4646,-35.2939
6/2/22,Ya'bad,Jenin,west-bank,2,0,0,Non Resedential,32.4646,-35.2939
5/7/22,Silat al-Harithiya,Jenin,west-bank,1,1,0,Residential,32.4646,-35.2939
3/8/22,Silat al-Harithiya,Jenin,west-bank,2,8,3,Residential,32.4646,-35.2939
3/8/22,Silat al-Harithiya,Jenin,west-bank,1,4,2,Residential,32.4646,-35.2939
2/14/22,Silat al-Harithiya,Jenin,west-bank,1,5,4,Residential,32.4646,-35.2939
2/1/22,Shu'fat R.C.,East Jerusalem,east-jerusalem,1,5,3,Residential,31.7683,-35.2137
7/8/21,Turmusaya,Ramallah and al-Bira,west-bank,1,7,2,Residential,31.9486,-35.1709
2/10/21,Turah al-Gharbiyah,Jenin,west-bank,2,6,4,Residential,32.4646,-35.2939
11/2/20,Rujeib,Nablus,west-bank,2,7,4,Residential,32.2227,-35.2621
5/11/20,Kobar,Ramallah and al-Bira,west-bank,1,2,0,Residential,31.9486,-35.1709
3/5/20,Ramallah,Ramallah and al-Bira,west-bank,1,3,1,Residential,31.9486,-35.1709
3/5/20,Bir Zeit,Ramallah and al-Bira,west-bank,1,3,0,Residential,31.9486,-35.1709
2/6/20,Jenin,Jenin,west-bank,1,7,2,Residential,32.4646,-35.2939
11/28/19,Beit Kahil,Hebron,west-bank,1,0,0,Residential,31.5326,-35.0998
11/28/19,Beit Kahil,Hebron,west-bank,1,4,3,Residential,31.5326,-35.0998
11/28/19,Beit Kahil,Hebron,west-bank,1,8,4,Residential,31.5326,-35.0998
11/28/19,Beit Kahil,Hebron,west-bank,1,3,2,Residential,31.5326,-35.0998
10/24/19,al-Am'ari R.C.,Ramallah and al-Bira,west-bank,3,0,0,Residential,31.9486,-35.1709
4/24/19,a-Zawiya,Salfit,west-bank,1,6,4,Residential,32.0851,-35.1808
4/19/19,Hebron,Hebron,west-bank,2,6,0,Residential,31.5326,-35.0998
4/17/19,Kobar,Ramallah and al-Bira,west-bank,1,2,1,Residential,31.9486,-35.1709
3/7/19,Kobar,Ramallah and al-Bira,west-bank,2,1,0,Residential,31.9486,-35.1709
1/18/19,Yatta,Hebron,west-bank,1,6,1,Residential,31.5326,-35.0998
12/17/18,Shweikah,Tulkarm,west-bank,2,3,0,Residential,32.3194,-35.024
12/15/18,al-Am'ari R.C.,Ramallah and al-Bira,west-bank,4,6,2,Residential,31.9486,-35.1709
8/28/18,Kobar,Ramallah and al-Bira,west-bank,1,9,4,Residential,31.9486,-35.1709
6/21/18,Barta'ah a-Sharqiyah,Jenin,west-bank,1,3,1,Residential,32.4646,-35.2939
4/24/18,Jenin,Jenin,west-bank,1,9,2,Residential,32.4646,-35.2939
3/13/18,Qabatiyah,Jenin,west-bank,0,0,0,Residential,32.4646,-35.2939
12/1/17,Qabatiyah,Jenin,west-bank,1,5,3,Residential,32.4646,-35.2939
11/15/17,Beit Surik,al-Quds,west-bank,1,10,7,Residential,31.7683,-35.2137
8/10/17,Deir Abu Mash'al,Ramallah and al-Bira,west-bank,1,4,1,Residential,31.9486,-35.1709
8/10/17,Deir Abu Mash'al,Ramallah and al-Bira,west-bank,1,6,4,Residential,31.9486,-35.1709
8/10/17,Deir Abu Mash'al,Ramallah and al-Bira,west-bank,1,3,0,Residential,31.9486,-35.1709
8/10/17,Silwad,Ramallah and al-Bira,west-bank,1,5,2,Residential,31.9486,-35.1709
3/22/17,Jabal al-Mukabber,East Jerusalem,east-jerusalem,1,3,2,Residential,31.7683,-35.2137
12/22/16,Kafr 'Aqab (Jerusalem),East Jerusalem,east-jerusalem,1,6,3,Residential,31.7683,-35.2137
11/22/16,Yatta,Hebron,west-bank,1,1,0,Residential,31.5326,-35.0998
10/11/16,Nablus,Nablus,west-bank,1,9,5,Residential,32.2227,-35.2621
8/30/16,Dura,Hebron,west-bank,1,3,2,Residential,31.5326,-35.0998
8/15/16,Bani Na'im,Hebron,west-bank,2,10,4,Residential,31.5326,-35.0998
8/4/16,Yatta,Hebron,west-bank,1,0,0,Residential,31.5326,-35.0998
8/4/16,Yatta,Hebron,west-bank,1,9,5,Residential,31.5326,-35.0998
7/18/16,Qabatiyah,Jenin,west-bank,1,7,1,Residential,32.4646,-35.2939
7/4/16,Qalandia R.C.,al-Quds,west-bank,1,6,0,Residential,31.7683,-35.2137
7/4/16,Qalandia R.C.,al-Quds,west-bank,1,3,0,Residential,31.7683,-35.2137
6/21/16,Hajjah,Qalqiliya,west-bank,1,5,2,Residential,32.196,-34.9815
6/11/16,Yatta,Hebron,west-bank,2,5,2,Residential,31.5326,-35.0998
5/3/16,Nablus,Nablus,west-bank,1,1,0,Residential,32.2227,-35.2621
4/20/16,Qalandia R.C.,al-Quds,west-bank,1,8,6,Residential,31.7683,-35.2137
4/11/16,Zur Baher,East Jerusalem,east-jerusalem,1,2,0,Residential,31.7683,-35.2137
4/4/16,Qabatiyah,Jenin,west-bank,1,6,0,Residential,32.4646,-35.2939
4/4/16,Qabatiyah,Jenin,west-bank,1,10,4,Residential,32.4646,-35.2939
4/4/16,Qabatiyah,Jenin,west-bank,1,7,3,Residential,32.4646,-35.2939
3/31/16,Hebron,Hebron,west-bank,1,3,0,Residential,31.5326,-35.0998
3/8/16,Hebron,Hebron,west-bank,1,6,2,Residential,31.5326,-35.0998
2/23/16,Deir Samit,Hebron,west-bank,1,5,3,Residential,31.5326,-35.0998
2/23/16,Deir Samit,Hebron,west-bank,2,13,7,Residential,31.5326,-35.0998
1/9/16,Qalandia R.C.,al-Quds,west-bank,1,6,3,Residential,31.7683,-35.2137
1/4/16,Jabal al-Mukabber,East Jerusalem,east-jerusalem,1,2,0,Residential,31.7683,-35.2137
1/4/16,Jabal al-Mukabber,East Jerusalem,east-jerusalem,1,5,2,Residential,31.7683,-35.2137
12/3/15,Nablus,Nablus,west-bank,2,8,4,Residential,32.2227,-35.2621
12/2/15,Shu'fat R.C.,East Jerusalem,east-jerusalem,1,6,4,Residential,31.7683,-35.2137
11/16/15,Qalandia R.C.,al-Quds,west-bank,1,3,2,Residential,31.7683,-35.2137
11/14/15,Silwad,Ramallah and al-Bira,west-bank,1,5,1,Residential,31.9486,-35.1709
11/14/15,Nablus,Nablus,west-bank,1,5,3,Residential,32.2227,-35.2621
11/14/15,Nablus,Nablus,west-bank,1,5,1,Residential,32.2227,-35.2621
11/14/15,Nablus,Nablus,west-bank,1,7,2,Residential,32.2227,-35.2621
10/20/15,Hebron,Hebron,west-bank,1,3,2,Residential,31.5326,-35.0998
10/6/15,Jabal al-Mukabber,East Jerusalem,east-jerusalem,1,1,0,Residential,31.7683,-35.2137
10/6/15,Jabal al-Mukabber,East Jerusalem,east-jerusalem,1,5,3,Residential,31.7683,-35.2137
7/1/15,Jabal al-Mukabber,East Jerusalem,east-jerusalem,1,6,1,Residential,31.7683,-35.2137
11/19/14,Silwan,East Jerusalem,east-jerusalem,1,6,3,Residential,31.7683,-35.2137
8/18/14,Hebron,Hebron,west-bank,1,2,0,Residential,31.5326,-35.0998
8/18/14,Hebron,Hebron,west-bank,1,8,6,Residential,31.5326,-35.0998
8/18/14,Hebron,Hebron,west-bank,1,5,3,Residential,31.5326,-35.0998
7/5/14,Idhna,Hebron,west-bank,1,8,4,Residential,31.5326,-35.0998
4/7/09,Zur Baher,East Jerusalem,east-jerusalem,1,4,0,Residential,31.7683,-35.2137
1/19/09,Jabal al-Mukabber,East Jerusalem,east-jerusalem,2,24,0,Residential,31.7683,-35.2137
12/20/04,'Araba,Jenin,west-bank,1,14,0,Residential,32.4646,-35.2939
12/20/04,'Araba,Jenin,west-bank,1,5,0,Residential,32.4646,-35.2939
12/14/04,Hebron,Hebron,west-bank,1,10,0,Residential,31.5326,-35.0998
12/14/04,Hebron,Hebron,west-bank,1,3,0,Residential,31.5326,-35.0998
12/14/04,Hebron,Hebron,west-bank,1,6,0,Residential,31.5326,-35.0998
12/1/04,a-Duheisheh R.C.,Bethlehem,west-bank,3,6,0,Residential,31.7054,-35.2024
12/1/04,a-Duheisheh R.C.,Bethlehem,west-bank,1,4,0,Residential,31.7054,-35.2024
12/1/04,a-Duheisheh R.C.,Bethlehem,west-bank,2,4,0,Residential,31.7054,-35.2024
11/26/04,Hebron,Hebron,west-bank,1,0,0,Residential,31.5326,-35.0998
11/8/04,Nablus,Nablus,west-bank,2,10,0,Residential,32.2227,-35.2621
11/7/04,Jenin R.C.,Jenin,west-bank,1,6,0,Residential,32.4646,-35.2939
11/7/04,Jenin R.C.,Jenin,west-bank,1,2,0,Residential,32.4646,-35.2939
11/7/04,Jenin R.C.,Jenin,west-bank,1,3,0,Residential,32.4646,-35.2939
11/7/04,Jenin R.C.,Jenin,west-bank,2,13,0,Residential,32.4646,-35.2939
11/2/04,Beit Furik,Nablus,west-bank,1,9,0,Residential,32.2227,-35.2621
11/2/04,Rujeib,Nablus,west-bank,1,17,0,Residential,32.2227,-35.2621
11/1/04,'Askar R.C.,Nablus,west-bank,1,0,0,Residential,32.2227,-35.2621
11/1/04,'Askar R.C.,Nablus,west-bank,1,0,0,Residential,32.2227,-35.2621
11/1/04,'Askar R.C.,Nablus,west-bank,1,4,0,Residential,32.2227,-35.2621
11/1/04,'Askar R.C.,Nablus,west-bank,1,7,0,Residential,32.2227,-35.2621
10/21/04,Qalqiliyah,Qalqiliya,west-bank,1,10,0,Residential,32.196,-34.9815
10/21/04,Qalqiliyah,Qalqiliya,west-bank,1,10,0,Residential,32.196,-34.9815
10/14/04,Hebron,Hebron,west-bank,1,18,0,Residential,31.5326,-35.0998
10/14/04,Hebron,Hebron,west-bank,1,3,0,Residential,31.5326,-35.0998
10/14/04,Hebron,Hebron,west-bank,1,10,0,Residential,31.5326,-35.0998
10/13/04,Jalbun,Jenin,west-bank,1,3,0,Residential,32.4646,-35.2939
10/9/04,Beit Hanoun,North Gaza,gaza-strip,1,3,0,Residential,31.3547,-34.3088
10/9/04,Beit Hanoun,North Gaza,gaza-strip,1,2,0,Residential,31.3547,-34.3088
10/9/04,Beit Hanoun,North Gaza,gaza-strip,1,7,0,Residential,31.3547,-34.3088
10/9/04,Beit Hanoun,North Gaza,gaza-strip,1,8,0,Residential,31.3547,-34.3088
10/5/04,'Aydah R.C.,Bethlehem,west-bank,1,9,0,Residential,31.7054,-35.2024
9/29/04,Jenin R.C.,Jenin,west-bank,1,0,0,Residential,32.4646,-35.2939
